"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000782, 1, 0.000782, batch_size='1024',data_dir=''./dataset'',device=''cuda'',dropout_rate='0.2',global_avg_pooling='False',kernel_size='3',learning_rate_init='0.0017627273197647203',n_conv_0='80',n_conv_layers='1',n_fc_layers='0',optimizer=''SGD'',random_horizontal_flip='False',random_rotation='True',seed='12321',use_BN='False',weight_decay='0.0015592916049564952'
280.413870, 0.204100, 280.420868, 1, 0.006998, batch_size='1024',data_dir=''./dataset'',device=''cuda'',dropout_rate='0.2',global_avg_pooling='False',kernel_size='3',learning_rate_init='0.0017627273197647203',n_conv_0='80',n_conv_layers='1',n_fc_layers='0',optimizer=''SGD'',random_horizontal_flip='False',random_rotation='True',seed='12321',use_BN='False',weight_decay='0.0015592916049564952'
388.750263, 0.190800, 388.762983, 2, 0.012720, batch_size='64',data_dir=''./dataset'',device=''cuda'',dropout_rate='0.5',global_avg_pooling='True',kernel_size='3',learning_rate_init='0.011048040759143146',n_conv_0='55',n_conv_layers='2',n_fc_layers='0',optimizer=''Adam'',random_horizontal_flip='True',random_rotation='False',seed='12321',use_BN='False',weight_decay='0.00015355437831880467',n_conv_1='42'
682.799789, 0.145700, 682.819348, 3, 0.019559, batch_size='1024',data_dir=''./dataset'',device=''cuda'',dropout_rate='0.2',global_avg_pooling='False',kernel_size='5',learning_rate_init='0.004290813410504012',n_conv_0='27',n_conv_layers='3',n_fc_layers='2',optimizer=''Adam'',random_horizontal_flip='True',random_rotation='True',seed='12321',use_BN='True',weight_decay='2.6149399615997658e-05',n_conv_1='169',n_conv_2='59',n_fc_0='1231',n_fc_1='2014'
3047.373914, 0.081400, 3047.428012, 4, 0.054098, batch_size='256',data_dir=''./dataset'',device=''cuda'',dropout_rate='0.2',global_avg_pooling='False',kernel_size='3',learning_rate_init='0.002853306692197529',n_conv_0='63',n_conv_layers='3',n_fc_layers='1',optimizer=''Adam'',random_horizontal_flip='True',random_rotation='False',seed='12321',use_BN='True',weight_decay='0.00020698023672894176',n_conv_1='8',n_conv_2='246',n_fc_0='629'
